Sex,Site,State,Year,Rate
Both,All Sites,Oklahoma,2003,150.1
Both,All Sites,Oregon,2003,146.5
Both,All Sites,Pennsylvania,2003,166.4
Both,All Sites,Rhode Island,2003,171.4
Both,All Sites,South Carolina,2003,159.9
Both,All Sites,South Dakota,2003,150.9
Both,All Sites,Tennessee,2003,147.1
Both,All Sites,Texas,2003,148.1
Both,All Sites,Utah,2003,141.6
Both,All Sites,Virginia,2003,139.5
Both,All Sites,Vermont,2003,178.8
Both,All Sites,Washington,2003,157.3
Both,All Sites,Wisconsin,2003,147.6
Both,All Sites,West Virginia,2003,166.7
Both,All Sites,Wyoming,2003,150.2
Both,All Sites,Alaska,2004,147.1
Both,All Sites,Alabama,2004,152.5
Both,All Sites,Arkansas,2004,149.7
Both,All Sites,Arizona,2004,137
Both,All Sites,California,2004,138.3
Both,All Sites,Colorado,2004,142.9
Both,All Sites,Connecticut,2004,168.1
Both,All Sites,District of Columbia,2004,180.1
Both,All Sites,Delaware,2004,158.4
Both,All Sites,Florida,2004,163.4
Both,All Sites,Georgia,2004,159.7
Both,All Sites,Hawaii,2004,160
Both,All Sites,Idaho,2004,140.6
Both,All Sites,Illinois,2004,154.4
Both,All Sites,Indiana,2004,152.8
Both,All Sites,Iowa,2004,158.3
Both,All Sites,Kansas,2004,160.2
Both,All Sites,Kentucky,2004,174.5
Both,All Sites,Louisiana,2004,151.8
Both,All Sites,Massachusetts,2004,166.9
Both,All Sites,Maryland,2004,155.1
Both,All Sites,Maine,2004,169.5
Both,All Sites,Michigan,2004,165.3
Both,All Sites,Minnesota,2004,148.5
Both,All Sites,Missouri,2004,158.1
Both,All Sites,Mississippi,2004,163.5
Both,All Sites,Montana,2004,134.6
Both,All Sites,North Carolina,2004,159.6
Both,All Sites,North Dakota,2004,148.1
Both,All Sites,Nebraska,2004,150.1
Both,All Sites,New Hampshire,2004,176.5
Both,All Sites,New Jersey,2004,170.9
Both,All Sites,New Mexico,2004,134.8
Both,All Sites,Nevada,2004,136.8
Both,All Sites,New York,2004,165.2
Both,All Sites,Ohio,2004,158.3
Both,All Sites,Oklahoma,2004,152.7
Both,All Sites,Oregon,2004,155.4
Both,All Sites,Pennsylvania,2004,169.1
Both,All Sites,Rhode Island,2004,177.2
Both,All Sites,South Carolina,2004,159.1
Both,All Sites,South Dakota,2004,147.4
